TicketID,Date,AgentID,Priority,Category,Channel,ResolutionMinutes,Status,SLA_Met,Escalated,FCR,CSAT,Revenue,Profit
189,2025-03-01,1004,High,Billing,Web Portal,137,Closed,True,False,False,4,557.3,380.71
190,2025-06-07,1003,High,Billing,Email,107,Closed,True,False,False,4,459.91,281.58
191,2024-07-30,1022,Medium,Technical Issue,Phone,79,Resolved,False,True,False,3,151.99,80.21
192,2025-03-13,1006,Low,Billing,Chat,53,Closed,True,False,True,4,209.92,128.46
193,2024-12-17,1004,High,Account Access,Email,196,Pending Customer,True,True,False,3,55.28,22.35
194,2024-07-19,1003,Critical,Feature Request,Email,198,Resolved,True,True,False,4,503.84,226.52
195,2024-11-29,1012,Medium,Bug Report,Chat,71,Closed,True,False,True,5,89.27,49.83
196,2025-04-11,1021,Low,Bug Report,Phone,55,Closed,True,False,True,4,103.65,72.22
197,2025-04-09,1006,Low,General Inquiry,Chat,58,Pending Customer,True,False,True,4,24.25,16.83
198,2024-11-07,1007,Low,Account Access,Email,61,Resolved,True,False,True,4,120.24,76.48
199,2024-10-31,1021,Medium,Technical Issue,Email,84,Closed,True,True,False,3,103.32,46.26
200,2024-10-15,1004,Low,General Inquiry,Phone,71,Closed,True,False,True,4,35.47,23.64
201,2025-01-21,1014,Low,Billing,Email,42,Resolved,True,False,True,4,328.88,165.36
202,2025-05-15,1010,Low,Technical Issue,Phone,57,Closed,True,False,False,5,331.42,182.4
203,2024-11-29,1008,High,Technical Issue,Chat,267,Closed,True,True,False,3,107.24,53.27
204,2025-06-30,1019,Medium,General Inquiry,Phone,114,Closed,False,True,False,2,86.9,46.65
205,2025-04-25,1016,Critical,Billing,Chat,205,Closed,True,False,False,4,349.53,179.68
206,2025-04-05,1014,High,Account Access,Chat,170,Resolved,True,False,True,5,88.05,60.61
207,2025-03-11,1021,Medium,Billing,Web Portal,71,Pending Customer,True,False,True,5,595.76,352.91
208,2025-02-07,1012,Low,Account Access,Email,48,Resolved,True,False,True,4,90.18,52.7
209,2025-01-20,1012,Medium,Account Access,Email,91,Closed,True,False,True,4,52.0,33.72
210,2024-07-11,1009,Medium,Feature Request,Email,99,Resolved,True,False,False,4,435.94,291.91
211,2025-06-25,1016,High,Technical Issue,Web Portal,192,Pending Customer,True,False,True,4,278.3,135.69
212,2025-02-11,1011,Low,Account Access,Email,57,In Progress,True,False,True,4,147.78,78.27
213,2025-01-03,1016,Critical,Technical Issue,Chat,335,Open,False,False,False,4,87.81,46.63
214,2025-05-04,1016,Medium,Technical Issue,Chat,105,Resolved,True,False,True,4,128.86,79.85
215,2024-10-22,1010,Medium,Billing,Phone,67,Resolved,True,False,True,4,404.17,209.02
216,2025-02-26,1004,Medium,Billing,Phone,142,Resolved,True,False,True,4,237.21,155.18
217,2025-02-25,1009,Medium,Technical Issue,Social Media,98,Closed,True,False,True,4,287.33,132.12
218,2024-10-06,1017,Medium,Bug Report,Phone,54,Closed,True,False,True,5,114.38,68.06
219,2024-08-08,1007,High,Technical Issue,Email,193,Resolved,True,True,False,3,385.64,186.25
220,2025-01-16,1005,Medium,Feature Request,Phone,107,Closed,True,False,True,4,696.7,325.46
221,2025-06-11,1008,Medium,Bug Report,Chat,147,Closed,True,False,False,3,233.17,158.82
222,2024-12-07,1008,High,Bug Report,Phone,157,Resolved,True,True,False,3,242.0,88.16
223,2024-09-10,1023,Low,Technical Issue,Chat,80,Resolved,True,False,False,4,317.43,168.2
224,2025-06-16,1001,Critical,Technical Issue,Phone,279,Resolved,False,False,True,4,389.87,198.83
225,2025-06-11,1007,Critical,Billing,Chat,282,Pending Customer,False,True,False,3,432.55,226.18
226,2025-03-10,1011,Critical,Technical Issue,Chat,180,Pending Customer,True,True,False,3,258.41,115.59
227,2025-05-08,1021,High,Technical Issue,Phone,145,Resolved,True,True,True,4,105.0,59.45
228,2025-01-13,1007,Medium,General Inquiry,Chat,139,Resolved,True,False,True,4,30.34,14.88
229,2024-11-01,1001,Low,Technical Issue,Email,39,Resolved,True,False,False,4,116.02,60.52
230,2025-02-09,1004,High,Technical Issue,Email,154,Closed,True,False,True,4,242.55,132.68
231,2025-05-11,1002,Critical,General Inquiry,Web Portal,162,Open,True,False,True,5,66.53,32.61
232,2025-06-27,1012,High,Technical Issue,Email,109,In Progress,True,False,True,5,285.72,173.44
233,2024-11-06,1011,High,Bug Report,Chat,189,Pending Customer,True,False,False,4,198.5,133.49
234,2025-06-01,1016,High,Technical Issue,Email,184,Pending Customer,False,False,False,3,265.21,133.17
235,2024-10-07,1013,High,Feature Request,Web Portal,125,Closed,True,False,False,4,383.96,209.29
236,2024-08-28,1001,Critical,Account Access,Email,202,Closed,True,False,True,5,72.54,41.38
237,2025-06-10,1016,Medium,Billing,Phone,98,Resolved,True,False,False,3,495.75,342.9
238,2025-05-03,1020,High,Account Access,Phone,96,Resolved,True,False,False,5,48.16,22.86
239,2025-06-12,1015,Low,Feature Request,Phone,40,Resolved,True,False,True,4,360.55,164.93
240,2024-09-21,1003,Medium,Account Access,Chat,82,Closed,True,True,False,4,163.76,80.0
241,2025-06-12,1002,Medium,Billing,Phone,59,Resolved,True,False,True,5,351.4,238.06
242,2024-07-31,1009,Medium,Billing,Phone,63,Pending Customer,True,False,True,5,321.62,167.2
243,2025-03-05,1022,Low,Feature Request,Web Portal,29,Closed,True,False,True,5,867.19,486.51
244,2025-05-05,1004,High,Account Access,Chat,171,Resolved,True,False,False,3,63.63,30.9
245,2024-08-02,1004,Medium,Account Access,Email,93,Closed,True,False,True,4,99.47,46.63
246,2024-12-18,1021,Medium,Bug Report,Chat,61,Open,False,False,True,4,280.05,140.62
247,2025-01-31,1003,Low,Bug Report,Chat,35,Closed,True,False,True,4,180.98,87.77
248,2024-11-23,1018,High,Technical Issue,Email,107,Closed,True,False,True,5,302.87,191.38
249,2025-03-18,1004,Critical,Account Access,Web Portal,288,Resolved,False,True,False,2,176.45,88.47
250,2025-03-16,1023,Medium,Technical Issue,Chat,119,Resolved,True,False,True,4,199.8,110.42
251,2024-11-06,1021,Medium,Billing,Web Portal,88,Resolved,True,False,True,5,240.59,127.23
252,2024-12-02,1006,Medium,Technical Issue,Chat,102,Resolved,True,False,True,5,236.68,112.09
253,2025-02-28,1023,Low,General Inquiry,Web Portal,77,Resolved,True,False,True,4,74.52,42.78
254,2024-08-09,1014,Critical,Feature Request,Phone,205,Resolved,True,False,False,4,506.83,260.74
255,2025-06-16,1020,Medium,Account Access,Web Portal,53,Closed,True,True,True,4,61.88,37.0
256,2024-08-10,1010,Low,Technical Issue,Phone,54,Closed,True,False,True,5,244.95,153.9
257,2025-02-13,1019,Critical,Account Access,Email,238,Open,True,True,False,3,119.02,49.97
258,2024-08-23,1011,Low,General Inquiry,Email,55,Open,False,False,True,4,73.81,44.12
259,2024-12-16,1014,Medium,Billing,Phone,83,Resolved,True,True,True,3,375.79,186.17
260,2025-05-30,1007,Medium,Account Access,Web Portal,156,Resolved,True,False,False,4,69.21,33.23
261,2024-08-16,1008,Low,Technical Issue,Email,65,Closed,True,False,True,4,219.85,124.04
262,2025-02-19,1012,Medium,Bug Report,Web Portal,96,In Progress,True,False,True,5,282.86,166.18
263,2024-10-23,1022,Low,Account Access,Email,36,Resolved,True,False,True,5,93.44,46.17
264,2025-02-13,1001,Low,Billing,Chat,64,Closed,False,True,True,3,473.68,201.65
265,2024-08-15,1012,Medium,General Inquiry,Email,88,Resolved,True,False,False,5,31.98,22.32
266,2024-09-01,1008,Medium,Bug Report,Email,130,In Progress,True,True,False,3,68.07,28.86
267,2025-01-21,1014,Low,Technical Issue,Web Portal,42,Resolved,True,False,True,4,100.17,46.35
268,2024-11-27,1018,Medium,Technical Issue,Email,57,Resolved,True,False,True,4,166.39,77.03
269,2024-09-19,1010,High,Account Access,Phone,94,Open,True,False,True,5,43.37,20.62
270,2025-05-31,1018,Medium,Billing,Chat,80,Closed,True,False,False,4,443.49,250.75
271,2025-03-26,1019,Medium,Bug Report,Web Portal,143,Resolved,True,False,True,4,203.83,98.48
272,2024-09-23,1019,Low,Billing,Web Portal,80,Resolved,True,False,False,4,277.55,186.94
273,2024-11-18,1023,Low,Technical Issue,Phone,82,Closed,True,False,True,4,159.58,78.62
274,2025-02-22,1013,High,Technical Issue,Email,193,Pending Customer,True,False,True,4,219.26,131.34
275,2024-10-25,1017,Medium,Billing,Web Portal,54,Pending Customer,True,False,True,5,182.17,124.44
276,2025-06-03,1002,High,Billing,Chat,140,Closed,True,True,False,4,463.98,217.22
277,2024-11-16,1017,Low,Technical Issue,Chat,37,Resolved,True,False,False,4,318.12,152.36
278,2025-01-26,1023,Low,General Inquiry,Phone,48,Closed,True,False,False,3,24.29,15.37
279,2025-06-17,1019,Medium,Feature Request,Chat,133,Closed,True,False,True,5,706.48,459.67
280,2024-09-15,1007,Medium,Feature Request,Phone,93,Open,False,True,True,3,355.04,161.16
281,2025-06-12,1005,Low,Feature Request,Chat,39,Open,True,False,True,5,444.18,309.71
282,2024-07-27,1018,Medium,Technical Issue,Web Portal,102,In Progress,True,False,True,4,276.59,168.61
283,2025-01-04,1020,Medium,Account Access,Web Portal,76,In Progress,True,False,False,5,178.72,101.08
284,2025-06-28,1013,Critical,Billing,Phone,340,Resolved,False,True,False,2,266.64,119.66
285,2025-03-19,1020,Medium,General Inquiry,Email,91,Resolved,True,False,True,4,41.11,27.7
286,2025-03-26,1016,Medium,Feature Request,Phone,104,Resolved,True,False,False,4,896.9,433.5
287,2024-07-29,1013,High,Billing,Email,210,Resolved,True,False,False,3,330.38,186.96
288,2025-03-19,1011,Low,Account Access,Phone,64,Open,True,True,True,3,103.55,47.31
289,2024-10-16,1018,Low,Bug Report,Email,56,Open,False,False,True,4,287.7,138.59
290,2025-04-26,1017,Critical,General Inquiry,Email,170,Closed,True,False,False,4,69.0,31.72
291,2025-06-13,1015,Low,Billing,Email,31,Closed,True,False,True,5,520.68,346.72
