AgentID,Month,QAScore,CoachingFlag
1021,2025-06,80,False
1022,2024-07,86,False
1022,2024-08,84,False
1022,2024-09,88,False
1022,2024-10,82,False
1022,2024-11,89,False
1022,2024-12,89,False
1022,2025-01,89,False
1022,2025-02,84,False
1022,2025-03,86,False
1022,2025-04,72,True
1022,2025-05,86,False
1022,2025-06,71,True
1023,2024-07,50,True
1023,2024-08,50,True
1023,2024-09,50,True
1023,2024-10,50,True
1023,2024-11,50,True
1023,2024-12,50,True
1023,2025-01,50,True
1023,2025-02,50,True
1023,2025-03,50,True
1023,2025-04,50,True
1023,2025-05,50,True
1023,2025-06,50,True
